instance_id,question_id,question,answer,prediction,is_correct,is_intended_answer
dm-test-e470f0a87d7513bf880412524332047020422c3f,37543f32-ada9-47a7-ba64-e309514fe271,"A jacket and full skirt ensemble worn in several key scenes in what movie has fetched $ 137,000 at auction?",the 1939 movie,the classic 1939 movie,TRUE,TRUE
dm-test-e470f0a87d7513bf880412524332047020422c3f,96f93b0b-61a6-40d4-9531-8d22496453c2,"What full skirt ensemble worn in several key scenes in the 1939 movie has fetched $ 137,000 at auction?",A jacket,a jacket and full skirt ensemble,TRUE,TRUE
dm-test-e470f0a87d7513bf880412524332047020422c3f,02f55a2d-f41d-468b-be7c-1b232c154b62,"A jacket and full skirt ensemble worn in what 1939 movie has fetched $ 137,000 at auction?",several key scenes,Gone With The Wind,TRUE,FALSE
dm-test-e470f0a87d7513bf880412524332047020422c3f,37543f32-ada9-47a7-ba64-e309514fe271,"A jacket and full skirt ensemble worn in several key scenes in what movie has fetched $ 137,000 at auction?",the 1939 movie,Gone With The Wind,TRUE,TRUE
dm-test-e470f0a87d7513bf880412524332047020422c3f,0dafbb7b-e365-4361-8778-6869300d3fbc,What color has faded over time to become light gray?,its original slate blue - gray color,original slate blue,TRUE,TRUE
dm-test-e470f0a87d7513bf880412524332047020422c3f,5302f75e-2faa-4b51-a9f0-423943922c65,"A jacket and what ensemble worn in several key scenes in the 1939 movie has fetched $ 137,000 at auction?",full skirt,skirt,TRUE,TRUE
dm-test-e470f0a87d7513bf880412524332047020422c3f,96f93b0b-61a6-40d4-9531-8d22496453c2,"What full skirt ensemble worn in several key scenes in the 1939 movie has fetched $ 137,000 at auction?",A jacket,jacket and full skirt,TRUE,TRUE
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,1fb39ac5-76a1-46db-a84e-b157aa0336b8,Who was held by his mother when he slipped and fell between 10 and 12 ft into the pit on Saturday around 3 pm at the Cleveland Metroparks Zoo?,The child,the boy,TRUE,TRUE
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,fcc5c748-b6aa-47ab-9c41-a7ee2e482882,Who held the child when he slipped and fell between 10 and 12 ft into the pit on Saturday around 3 pm at the Cleveland Metroparks Zoo?,his mother,the boy 's mother,TRUE,TRUE
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,e819fe1b-1ce6-4abe-a1e5-2b8cbfd7b54a,How far was the child held by his mother when he slipped and fell into the pit on Saturday around 3 pm at the Cleveland Metroparks Zoo?,between 10 and 12 ft,12 ft,TRUE,TRUE
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,fb69a385-f887-43e1-9082-98efb2d3836e,The child was held by his mother when he slipped and fell between 10 and 12 ft into what on Saturday around 3 pm at the Cleveland Metroparks Zoo?,the pit,a cheetah exhibit,TRUE,TRUE
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,dd012768-ccf4-4f62-8324-c5ed794594aa,He was rescued by his parents before emergency responders arrived on the scene ; what did he suffer from?,minor bruises,minor injuries,TRUE,TRUE
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,156213b9-0ecc-4343-b37e-afe816b1335e,He was rescued by his parents before emergency responders arrived on the scene ; he suffered from minor bruises and what?,bumps,minor injuries,TRUE,TRUE
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,79bb045f-328f-422f-9d67-168c1022a3d6,Who seemed to ignore the boy and his parents while in the pit?,The cheetahs,the fast feline,TRUE,TRUE
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,46ad31b2-8c7f-49a1-a63a-6e1caa583c00,Who did the cheetahs seem to ignore while in the pit?,his parents,the boy,TRUE,FALSE
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,2973fdb2-2642-4338-8265-7701330b3de6,Where did the cheetahs seem to ignore the boy and his parents?,the pit,a cheetah exhibit,TRUE,TRUE
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,fb69a385-f887-43e1-9082-98efb2d3836e,The child was held by his mother when he slipped and fell between 10 and 12 ft into what on Saturday around 3 pm at the Cleveland Metroparks Zoo?,the pit,the cheetah pit,TRUE,TRUE
